Alfred Hitchcock
Martin Scorsese
Steven Spielberg
Francis Ford Coppola
Quentin Tarantino
Stanley Kubrick
Orson Welles
Ridley Scott
James Cameron
Woody Allen
David Fincher
Ang Lee
J.J. Abrams
Tim Burton
George Lucas
Paul Thomas Anderson
Coen Brothers
Wes Anderson
Akira Kurosawa
Ingmar Bergman
Federico Fellini
Jean-Luc Godard
Francois Truffaut
Luis Buñuel
Pedro Almodóvar
Hayao Miyazaki
Michel Gondry
Richard Linklater
Sofia Coppola
Zhang Yimou
Lars von Trier
Danny Boyle
James Gunn
Ridley Scott
M. Night Shyamalan
Robert Altman
Sam Mendes
Steven Soderbergh
Guillermo del Toro
Jorge Michel Grau
Denis Villeneuve
Michael Haneke
Darren Aronofsky
John Carpenter
David Lynch
Bong Joon-ho
David O. Russell
Ron Howard
Rian Johnson
Brad Bird
Patty Jenkins
Milos Forman
Sidney Lumet
Oliver Stone
Richard Attenborough
Walter Hill
John Hughes
Fritz Lang
George Miller
Nicolas Roeg
Carlos Saura
Paul Verhoeven
Nora Ephron
Gus Van Sant
Terrence Malick
Wim Wenders
Jim Jarmusch
Catherine Hardwicke
Roman Polanski
Ethan Coen
Joel Coen
Sergio Leone
Elia Kazan
Michael Bay
James Wan
Luca Guadagnino
Andrea Arnold
Harmony Korine
John Waters
Eli Roth
Claire Denis
David Cronenberg
Paul Schrader
Brad Anderson
Spike Jonze
Spike Lee
Mel Gibson
Ang Lee
Krzysztof Kieslowski
Satyajit Ray
Peter Jackson
Jean-Pierre Jeunet
Gordon Parks
Michael Mann
James Marsh
Bille August
David Wain
Todd Haynes
Judi Dench
David Leland
